DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TKPertStrategy,0.9066897062453715,.9066
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.8779603986023036,.8779
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.915991156963891,.9159
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,MaxStrategy,0.9182147165259349,.9182
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.9183673469387755,.9183
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9102579341495305,.9102
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.9136958348337535,.9136
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.926078526417838,.9260
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,0.8829937203639626,.8829
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.9104790050486393,.9104
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,0.8909940634078565,.8909
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,0.9008986827526776,.9008
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,MaxStrategy,MaxStrategy,0.8933300024981264,.8933
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.8925892970636837,.8925
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.8898176291793313,.8898
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,0.8824816578710258,.8824
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,BottomTruncateStrategy,0.9217836257309941,.9217
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,0.9044647143542967,.9044
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,BottomTruncateStrategy,MaxStrategy,0.8836256561259762,.8836
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9048252509372355,.9048
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,MaxStrategy,0.9240445089501694,.9240
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.9015273811002111,.9015
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.8533010622562861,.8533
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9201484496588052,.9201
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,TopBottomTruncateStrategy,MaxStrategy,0.900398406374502,.9003
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,0.9029126213592233,.9029
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,BottomTruncateStrategy,0.9081319759597694,.9081
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,TopBottomTruncateStrategy,0.9207920792079207,.9207
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.8945273631840797,.8945
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TKPertStrategy,0.9151689432063265,.9151
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.9252789907811741,.9252
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.8924908192984677,.8924
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TopBottomTruncateStrategy,0.8921556203269547,.8921
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,0.8704168759417379,.8704
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,0.9026900584795321,.9026
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.8819247378161628,.8819
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.91133874955846,.9113
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,MaxStrategy,TKPertStrategy,0.8776873557633912,.8776
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,0.9018630592144299,.9018
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,TKPertStrategy,0.9109730848861284,.9109
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,0.9014655069700941,.9014
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9039440957005804,.9039
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,0.914526908195568,.9145
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TKPertStrategy,BottomTruncateStrategy,0.91828058573453,.9182
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,0.8742393509127788,.8742
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.8814749780509219,.8814
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9154099905749293,.9154
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,BottomTruncateStrategy,0.9065842643213691,.9065
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,0.9163967854144177,.9163
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.914175506268081,.9141
