DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,MaxStrategy,TfidfStrategy,0.9164272329793879,.9164
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,Tf4idfStrategy,Tf4idfStrategy,0.94073896353167,.9407
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.9253591870108632,.9253
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TKPertStrategy,0.9445117518778774,.9445
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TfidfStrategy,TruncateStrategy,0.9450655126818128,.9450
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,Tf4idfStrategy,TfidfStrategy,0.9446716382006254,.9446
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.9323110099436923,.9323
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,Tf4idfStrategy,0.9432293534122147,.9432
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.9393088289168398,.9393
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,Tf4idfStrategy,0.9222360248447206,.9222
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,Tf4idfStrategy,MaxStrategy,0.9368983957219251,.9368
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,0.9326258637709773,.9326
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,Tf4idfStrategy,0.9229627797700013,.9229
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TfidfStrategy,Tf4idfStrategy,0.9187339606501284,.9187
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,Tf4idfStrategy,TruncateStrategy,0.9425562470081379,.9425
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,0.9251004749725977,.9251
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,0.9480394515275439,.9480
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.9280997798972854,.9280
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TfidfStrategy,TfidfStrategy,0.9185842775376708,.9185
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,0.9422049538610977,.9422
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TfidfStrategy,0.9091974223784418,.9091
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,Tf4idfStrategy,0.9447896749521989,.9447
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,0.943523191540495,.9435
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TfidfStrategy,TruncateStrategy,0.945633870579745,.9456
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,0.9284003831417625,.9284
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,TfidfStrategy,0.92568639414277,.9256
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TfidfStrategy,TfidfStrategy,0.939198245400268,.9391
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TfidfStrategy,0.9445575380193988,.9445
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TruncateStrategy,0.9270172821086659,.9270
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TfidfStrategy,MaxStrategy,0.9404083570750238,.9404
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TfidfStrategy,0.944115872057936,.9441
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,MaxStrategy,0.9456077015643801,.9456
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,Tf4idfStrategy,0.904047619047619,.9040
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,0.9377254147631643,.9377
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,TKPertStrategy,0.9333659371561316,.9333
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TfidfStrategy,Tf4idfStrategy,0.9443977422841359,.9443
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,0.9123113384058874,.9123
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,0.9424071179511844,.9424
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,0.9399571122230165,.9399
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,0.9414855505134941,.9414
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,Tf4idfStrategy,Tf4idfStrategy,0.9248496993987976,.9248
