NT2PhageStrategy,NT2BactStrategy,MegaDNAPhageStrategy,MegaDNABactStrategy,DNABERTPhageStrategy,DNABERTBactStrategy,F1Score1,F1Score2,F1Score3,F1Score4,F1Score5,Average
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.9620253443717957,0.9601554870605469,0.9581711888313293,,,.9601
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,0.9488416910171509,0.9559321999549866,0.9513721466064453,,,.9520
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9487427473068237,0.9544573426246643,0.9601167440414429,,,.9544
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,0.9367088675498962,0.961013674736023,0.9580896496772766,,,.9519
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,0.9552963972091675,0.9567354917526245,0.9578284025192261,,,.9566
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9579100012779236,0.9587178230285645,0.9449275135993958,,,.9538
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.9524733424186707,0.9498069286346436,0.9544573426246643,,,.9522
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,0.9639024138450623,0.9630350470542908,0.9630350470542908,,,.9633
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.9639727473258972,0.9548762440681458,0.9673330187797546,,,.9620
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,0.9644076228141785,0.9490538835525513,0.9620622396469116,,,.9585
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,0.9567751288414001,0.9628543257713318,0.9581711888313293,,,.9592
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,0.953533411026001,0.9595319628715515,0.9574571847915649,,,.9568
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,TruncateStrategy,0.9520581364631653,0.9549636840820312,0.9380789995193481,,,.9483
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,0.961444616317749,0.9617803692817688,0.9457212686538696,,,.9563
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,0.9487922787666321,0.9455782175064087,0.9625668525695801,,,.9523
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,0.9462571740150452,0.9479768872261047,0.9625304341316223,,,.9522
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,0.9487427473068237,0.95652174949646,0.9493975639343262,,,.9515
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,0.9540117383003235,0.9635391235351562,0.9611650705337524,,,.9595
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.9527482986450195,0.9569007158279419,0.9482341408729553,,,.9526
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.9582524299621582,0.9586374759674072,0.9596891403198242,,,.9588
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,0.9518248438835144,0.9640077948570251,0.951055645942688,,,.9556
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TruncateStrategy,0.9504092335700989,0.9562256932258606,0.9562256932258606,,,.9542
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,0.9448969960212708,0.9465060234069824,0.9581711888313293,,,.9498
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,0.9639376401901245,0.9469586610794067,0.955339789390564,,,.9554
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,0.9601167440414429,0.9348140954971313,0.9538017511367798,,,.9495
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,0.9514563083648682,0.960545539855957,0.9604247212409973,,,.9574
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,0.9588776230812073,0.9539058804512024,0.9554694890975952,,,.9560
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9531174302101135,0.9631068110466003,0.9448208808898926,,,.9536
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,0.9616318345069885,0.9579100012779236,0.9525653719902039,,,.9573
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,0.9585971832275391,0.9542609453201294,0.9673330187797546,,,.9600
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.9572815299034119,0.9510895609855652,0.9474192261695862,,,.9519
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,0.9562682509422302,0.9545454382896423,0.9470616579055786,,,.9526
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.9575289487838745,0.955974817276001,0.9592628479003906,,,.9575
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.961444616317749,0.9339039325714111,0.9545014500617981,,,.9499
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,0.9542356133460999,0.9355932474136353,0.9514091610908508,,,.9470
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,0.9566065073013306,0.9612027406692505,0.9578017592430115,,,.9585
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,TruncateStrategy,0.9630350470542908,0.9626395106315613,0.9374697208404541,,,.9543
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,0.9658869504928589,0.9630350470542908,0.9560975432395935,,,.9616
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,0.9600778818130493,0.9608506560325623,0.9592628479003906,,,.9600
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9519692659378052,0.9505813717842102,0.9351164102554321,,,.9458
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,0.951636552810669,0.9541910290718079,0.9561022520065308,,,.9539
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.9507246613502502,0.9631068110466003,0.9594924449920654,,,.9577
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9504373073577881,0.9596107006072998,0.9546120166778564,,,.9548
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9579667448997498,0.9488910436630249,0.9567331075668335,,,.9545
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,0.9447972774505615,0.9616318345069885,0.9482842087745667,,,.9515
